ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
123.WFI.dat      70         22.590        0.373         22.588        0.255         24.108         22.013
1240.WFI.dat      52         23.263        0.276         23.205        0.184         24.263         22.902
1241.WFI.dat      43         23.066        0.393         22.979        0.355         24.236         22.542
1243.WFI.dat      43         22.844        0.554         22.721        0.536         24.776         21.977
1244.WFI.dat      39         24.078        0.274         24.030        0.214         25.236         23.651
1245.WFI.dat      84         23.618        0.331         23.664        0.321         24.701         22.686
1246.WFI.dat      22         23.824        0.182         23.854        0.145         24.108         23.262
1249.WFI.dat      59         22.776        0.434         22.835        0.383         24.208         21.508
124.WFI.dat      74         22.559        0.365         22.526        0.365         23.622         21.689
1251.WFI.dat      77         23.369        0.281         23.382        0.288         23.917         22.640
1252.WFI.dat      10         22.703        0.515         22.496        0.373         24.038         22.295
1253.WFI.dat      45         23.381        0.201         23.396        0.201         23.715         22.808
1255.WFI.dat      49         22.555        0.355         22.544        0.283         23.377         21.622
1256.WFI.dat      50         22.627        0.458         22.637        0.466         23.827         21.739
1257.WFI.dat      78         23.938        0.259         23.903        0.198         24.843         23.414
1258.WFI.dat      35         22.965        0.409         22.863        0.363         24.374         22.484
1259.WFI.dat      14         22.734        0.405         22.617        0.416         23.611         22.303
125.WFI.dat      33         21.499        0.245         21.477        0.092         22.421         21.108
1260.WFI.dat      54         23.844        0.291         23.783        0.182         24.828         23.456
1261.WFI.dat      47         22.456        0.366         22.428        0.321         23.208         21.458
1262.WFI.dat      81         24.024        0.091         24.022        0.090         24.287         23.840
1264.WFI.dat      40         24.107        0.297         24.077        0.261         24.728         23.430
1265.WFI.dat       2         24.170        0.892         24.170        0.434         24.801         23.540
1266.WFI.dat      77         22.794        0.163         22.785        0.164         23.198         22.345
1267.WFI.dat      27         23.455        0.284         23.526        0.229         23.964         22.648
1268.WFI.dat       9         23.197        0.297         23.187        0.285         23.699         22.642
1269.WFI.dat      12         24.157        0.300         24.143        0.216         24.722         23.504
126.WFI.dat       1         23.238        0.000         23.238        0.000         23.238         23.238
1271.WFI.dat       3         23.320        0.025         23.324        0.017         23.336         23.291
1272.WFI.dat       6         23.626        0.268         23.699        0.276         23.872         23.154
1274.WFI.dat      16         22.709        0.217         22.698        0.195         23.268         22.428
1275.WFI.dat      91         23.652        0.075         23.657        0.069         23.827         23.408
1276.WFI.dat      76         23.024        0.175         23.043        0.144         23.431         22.575
1277.WFI.dat      59         23.392        0.173         23.407        0.156         23.767         22.865
1279.WFI.dat      53         22.688        0.305         22.707        0.319         23.310         22.064
127.WFI.dat      73         23.326        0.308         23.289        0.287         24.465         22.593
1280.WFI.dat      18         23.685        0.434         23.699        0.480         24.297         22.884
1281.WFI.dat       2         23.326        0.210         23.326        0.102         23.475         23.178
1282.WFI.dat       4         23.332        0.482         23.345        0.443         23.892         22.745
1283.WFI.dat      64         23.668        0.287         23.644        0.279         24.490         23.040
1284.WFI.dat      66         23.760        0.265         23.817        0.289         24.287         23.025
1285.WFI.dat      12         23.494        0.505         23.369        0.537         24.558         22.982
1286.WFI.dat       7         23.331        0.207         23.348        0.226         23.608         23.016
1287.WFI.dat      15         23.896        0.381         23.920        0.287         24.675         22.963
1288.WFI.dat      32         24.848        0.327         24.863        0.221         25.212         23.564
1289.WFI.dat       3         23.122        0.380         23.073        0.263         23.560         22.881
128.WFI.dat      72         21.494        0.169         21.505        0.139         21.933         21.088
1290.WFI.dat      84         23.238        0.257         23.229        0.204         24.047         22.399
1292.WFI.dat      44         23.027        0.279         23.025        0.256         24.115         22.494
1293.WFI.dat      24         23.047        0.293         23.072        0.268         23.698         22.488
1294.WFI.dat      61         22.551        0.304         22.593        0.319         23.327         21.898
1295.WFI.dat      68         24.124        0.092         24.119        0.086         24.354         23.864
1296.WFI.dat      71         24.161        0.089         24.168        0.087         24.411         23.896
1297.WFI.dat      27         24.299        0.337         24.244        0.298         25.169         23.932
1298.WFI.dat      36         23.024        0.190         23.019        0.190         23.404         22.538
1299.WFI.dat      59         23.598        0.211         23.642        0.221         24.078         23.067
129.WFI.dat      95         22.024        0.021         22.021        0.017         22.092         21.924
12.WFI.dat      97         19.793        0.017         19.792        0.014         19.835         19.710
1300.WFI.dat      66         23.911        0.348         23.910        0.317         25.032         23.191
1301.WFI.dat      65         22.819        0.334         22.841        0.311         23.963         22.223
1302.WFI.dat       8         23.456        0.141         23.459        0.157         23.622         23.220
1303.WFI.dat      30         23.510        0.527         23.468        0.534         24.594         22.704
1304.WFI.dat      47         22.243        0.259         22.212        0.235         23.216         21.758
1306.WFI.dat      75         23.431        0.267         23.415        0.205         24.462         22.712
1308.WFI.dat      30         23.965        0.337         23.930        0.305         24.640         23.271
1309.WFI.dat       7         23.069        0.318         22.993        0.247         23.768         22.858
130.WFI.dat      38         21.373        0.259         21.340        0.235         22.135         20.931
1310.WFI.dat       3         23.548        0.137         23.556        0.104         23.668         23.400
1312.WFI.dat      12         22.905        0.177         22.858        0.115         23.386         22.707
1313.WFI.dat      18         22.640        0.218         22.626        0.148         23.285         22.216
1315.WFI.dat      18         23.393        0.209         23.354        0.201         23.853         23.007
1316.WFI.dat      23         24.064        0.171         24.067        0.165         24.328         23.634
1317.WFI.dat      37         23.801        0.466         23.821        0.464         25.128         22.877
1318.WFI.dat      26         23.089        0.265         23.079        0.267         23.506         22.426
1319.WFI.dat       5         23.897        0.432         23.877        0.441         24.480         23.449
131.WFI.dat      97         22.005        0.093         22.022        0.089         22.146         21.704
1320.WFI.dat      13         22.699        0.217         22.640        0.231         23.159         22.456
1322.WFI.dat      88         23.071        0.221         23.085        0.176         23.587         22.290
1323.WFI.dat       1         23.467        0.000         23.467        0.000         23.467         23.467
1325.WFI.dat      44         23.832        0.423         23.845        0.452         24.792         23.016
1326.WFI.dat      29         23.299        0.262         23.310        0.272         23.767         22.832
1327.WFI.dat      93         22.944        0.197         22.955        0.182         23.458         22.513
1328.WFI.dat      33         22.539        0.198         22.516        0.174         22.932         22.114
132.WFI.dat      72         21.617        0.191         21.613        0.150         22.139         21.103
1330.WFI.dat      38         24.278        0.402         24.237        0.290         25.258         23.543
1333.WFI.dat      71         22.827        0.190         22.817        0.206         23.297         22.453
1334.WFI.dat       6         23.748        0.477         23.779        0.541         24.367         23.141
1335.WFI.dat      64         23.190        0.235         23.264        0.250         23.614         22.618
1336.WFI.dat      31         23.359        0.446         23.342        0.380         24.563         22.358
